GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
r43ples,de.tud.plt.r43ples.merging.model.structure,HighLevelChangeModel,232,0,2,0,12,0,12,0,11,0
r43ples,de.tud.plt.r43ples.merging.model.structure,DifferenceGroup,464,0,2,0,26,0,19,0,18,0
r43ples,de.tud.plt.r43ples.merging.model.structure,Triple,327,0,2,0,18,0,15,0,14,0
r43ples,de.tud.plt.r43ples.merging.model.structure,DifferenceModel,207,0,2,0,10,0,11,0,10,0
r43ples,de.tud.plt.r43ples.merging.model.structure,Individual,50,0,2,0,1,0,7,0,6,0
r43ples,de.tud.plt.r43ples.merging.model.structure,MergeCommitModel,638,0,2,0,36,0,16,0,15,0
r43ples,de.tud.plt.r43ples.merging.model.structure,HighLevelChangeTableModel,381,0,2,0,20,0,13,0,12,0
r43ples,de.tud.plt.r43ples.merging.model.structure,HighLevelChangeRenaming,195,0,2,0,10,0,11,0,10,0
r43ples,de.tud.plt.r43ples.merging.model.structure,PatchGroup,122,73,1,1,4,6,6,5,5,5
r43ples,de.tud.plt.r43ples.merging.model.structure,HighLevelChangeTableRow,591,0,2,0,34,0,23,0,22,0
r43ples,de.tud.plt.r43ples.merging.model.structure,Difference,573,0,2,0,33,0,21,0,20,0
r43ples,de.tud.plt.r43ples.merging.model.structure,Patch,266,127,1,1,11,11,10,7,9,7
r43ples,de.tud.plt.r43ples.merging.management,StrategyManagement,745,378,8,6,25,23,11,7,5,6
r43ples,de.tud.plt.r43ples.merging.management,ProcessManagement,2569,0,60,0,106,0,40,0,10,0
r43ples,de.tud.plt.r43ples,R43plesService.new Thread() {...},5,0,0,0,2,0,2,0,2,0
r43ples,de.tud.plt.r43ples,R43plesService,267,0,12,0,55,0,11,0,5,0
r43ples,de.tud.plt.r43ples.merging.ui,MergingControl,1153,0,8,0,59,0,14,0,10,0
r43ples,de.tud.plt.r43ples.visualisation,VisualisationTable,288,483,0,2,2,39,3,6,3,5
r43ples,de.tud.plt.r43ples.visualisation,TimeLineView,241,451,1,7,0,34,4,7,3,4
r43ples,de.tud.plt.r43ples.visualisation,MessagesTableView,961,1043,8,16,19,76,9,11,3,5
r43ples,de.tud.plt.r43ples.visualisation,CommitGraphView,896,1652,11,39,6,98,12,25,3,9
r43ples,de.tud.plt.r43ples.visualisation,VisualisationGraph,82,91,0,2,1,7,4,4,4,3
r43ples,de.tud.plt.r43ples.triplestoreInterface,TripleStoreInterfaceSingleton,305,218,6,6,7,14,8,6,4,4
r43ples,de.tud.plt.r43ples.triplestoreInterface,VirtuosoInterface,137,0,2,0,43,0,11,0,10,0
r43ples,de.tud.plt.r43ples.triplestoreInterface,TripleStoreInterface,629,861,8,24,10,49,11,16,4,7
r43ples,de.tud.plt.r43ples.triplestoreInterface,HttpInterface,234,0,6,0,61,0,16,0,13,0
r43ples,de.tud.plt.r43ples.triplestoreInterface,JenaTDBInterface,476,565,2,4,8,50,6,11,4,10
r43ples,de.tud.plt.r43ples.client,ConsoleClientArgs,0,20,0,0,0,6,0,1,0,1
r43ples,de.tud.plt.r43ples.client,R43plesArgs,0,6,0,0,0,2,0,1,0,1
r43ples,de.tud.plt.r43ples.client,ConsoleClient,73,163,7,3,16,27,6,3,2,2
r43ples,de.tud.plt.r43ples.webservice,Endpoint,1428,1487,15,27,34,96,17,24,4,16
r43ples,de.tud.plt.r43ples.webservice,Misc,555,1072,3,39,5,54,7,26,4,8
r43ples,de.tud.plt.r43ples.webservice,API,180,96,2,2,5,6,7,4,5,4
r43ples,de.tud.plt.r43ples.webservice,Configuration,460,0,10,0,19,0,14,0,9,0
r43ples,de.tud.plt.r43ples.webservice,ExceptionMapper,289,0,4,0,13,0,9,0,7,0
r43ples,de.tud.plt.r43ples.webservice,Merging,1132,151,27,1,40,12,18,4,4,4
r43ples,de.tud.plt.r43ples.webservice,Debug,463,632,4,8,7,46,7,10,3,8
r43ples,de.tud.plt.r43ples.revisionTree,Revision,132,154,1,1,2,13,5,8,4,8
r43ples,de.tud.plt.r43ples.revisionTree,Tag,66,0,2,0,2,0,7,0,6,0
r43ples,de.tud.plt.r43ples.revisionTree,Commit,462,614,7,15,6,38,10,20,3,16
r43ples,de.tud.plt.r43ples.revisionTree,Tree,276,559,1,9,0,39,4,10,3,6
r43ples,de.tud.plt.r43ples.revisionTree,Reference,131,129,2,2,2,10,6,6,4,6
r43ples,de.tud.plt.r43ples.revisionTree,StructuredTree,630,947,5,21,8,57,8,18,3,10
r43ples,de.tud.plt.r43ples.revisionTree,Branch,46,54,1,1,0,4,4,4,3,4
r43ples,de.tud.plt.r43ples.dataset,DataSetGenerationResult,34,34,1,1,0,2,4,3,3,3
r43ples,de.tud.plt.r43ples.dataset,DatasetGenerationManagement,148,355,0,2,1,18,4,8,4,7
r43ples,de.tud.plt.r43ples.dataset,SampleDataSet,1174,2293,0,2,1,189,4,11,4,10
r43ples,de.tud.plt.r43ples.exception,InternalErrorException,46,52,1,1,0,4,4,3,3,3
r43ples,de.tud.plt.r43ples.exception,QueryErrorException,64,0,2,0,2,0,7,0,6,0
r43ples,de.tud.plt.r43ples.exception,IdentifierAlreadyExistsException,64,0,2,0,2,0,7,0,6,0
r43ples,de.tud.plt.r43ples.management,ResourceManagement,90,24,0,2,4,1,4,4,4,3
r43ples,de.tud.plt.r43ples.management,R43plesRequest,124,227,1,1,0,17,4,9,3,9
r43ples,de.tud.plt.r43ples.management,Interface,2605,3205,40,76,48,192,39,35,6,10
r43ples,de.tud.plt.r43ples.management,QueryParser,115,170,0,8,1,10,4,7,4,3
r43ples,de.tud.plt.r43ples.management,R43plesMergeCommit,429,346,2,4,13,22,6,4,4,3
r43ples,de.tud.plt.r43ples.management,JenaModelManagement,279,280,0,4,8,22,4,9,4,7
r43ples,de.tud.plt.r43ples.management,RevisionManagement,1765,3585,10,44,13,212,14,51,4,34
r43ples,de.tud.plt.r43ples.management,SparqlRewriter,934,1908,0,30,3,133,3,24,3,9
r43ples,de.tud.plt.r43ples.management,R43plesCommit,140,256,3,3,0,18,6,5,3,5
r43ples,de.tud.plt.r43ples.management,RevisionGraph,1471,1466,20,20,34,89,20,21,4,17
r43ples,de.tud.plt.r43ples.management,RevisionDraft,132,229,3,3,0,15,6,4,3,4
r43ples,de.tud.plt.r43ples.management,GitRepositoryState,140,185,1,3,2,14,4,5,3,4
r43ples,de.tud.plt.r43ples.management,Config,266,456,0,6,1,36,4,7,4,4
r43ples,de.tud.plt.r43ples.merging,MergeResult,58,72,1,1,0,6,4,3,3,3
r43ples,de.tud.plt.r43ples.merging,MergeQueryTypeEnum,81,83,1,1,0,2,6,3,5,3
r43ples,de.tud.plt.r43ples.merging,ResolutionStateEnum,154,0,2,0,2,0,9,0,8,0
r43ples,de.tud.plt.r43ples.merging,RebaseControl,491,570,5,9,9,39,9,8,4,6
r43ples,de.tud.plt.r43ples.merging,SDDTripleStateEnum,129,163,1,1,0,11,6,5,5,5
r43ples,de.tud.plt.r43ples.merging,FastForwardControl,247,328,2,4,5,20,6,5,4,4
r43ples,de.tud.plt.r43ples.merging,MergeManagement,2427,4919,27,83,16,274,30,38,4,9
r43ples,de.tud.plt.r43ples.merging,TripleObjectTypeEnum,144,0,2,0,2,0,9,0,8,0
